forecast_date,target,target_end_date,location,type,quantile,value
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.01,909.683
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.025,919.733
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.05,927.05
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.1,939.733
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.15,946.15
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.2,955.4
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.25,959
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.3,962
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.35,964
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.4,967
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.45,969
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.5,972
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.55,974.517
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.6,979.533
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.65,984.1
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.7,987.567
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.75,992
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.8,996.6
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.85,1002.85
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.9,1006.633
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.95,1018.65
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.975,1026.742
2020-11-16,1 wk ahead inc death,2020-11-21,13,quantile,0.99,1046.613
2020-11-16,1 wk ahead inc death,2020-11-21,13,point,NA,972
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.025,45193.842
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.1,45247.733
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.25,45355
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.5,45492.5
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.75,45572.167
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.9,45648.633
2020-11-16,1 wk ahead inc case,2020-11-21,13,quantile,0.975,45748.8
2020-11-16,1 wk ahead inc case,2020-11-21,13,point,NA,45492.5
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.01,871.01
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.025,874.683
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.05,879.35
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.1,889.367
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.15,896
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.2,899
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.25,901.833
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.3,905.433
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.35,911.45
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.4,914.467
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.45,917.483
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.5,927.5
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.55,932
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.6,934.533
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.65,938.55
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.7,943.133
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.75,946
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.8,953.6
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.85,960
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.9,971.8
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.95,980.65
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.975,993.158
2020-11-16,2 wk ahead inc death,2020-11-28,13,quantile,0.99,1006.603
2020-11-16,2 wk ahead inc death,2020-11-28,13,point,NA,927.5
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.025,41084.208
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.1,41263.233
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.25,41415.667
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.5,41523.5
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.75,41647.75
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.9,41747.433
2020-11-16,2 wk ahead inc case,2020-11-28,13,quantile,0.975,42008.383
2020-11-16,2 wk ahead inc case,2020-11-28,13,point,NA,41523.5
2020-11-16,3 wk ahead inc death,2020-12-05,13,quantile,0.01,774.417
2020-11-16,3 wk ahead inc death,2020-12-05,13,quantile,0.025,791.842
2020-11-16,3 wk ahead inc death,2020-12-05,13,quantile,0.05,797.05
2020-11-16,3 wk ahead inc death,2020-12-05,13,quantile,0.1,806.1
